"authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","authors_with_affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Feldmeier, D.E.; Schmitz, O.J.; Dickman, A.J.; Kasozi, H.; Montgomery, R.A.","Feldmeier, Dylan E. (58947001800); Schmitz, Oswald J. (57203106176); Dickman, Amy J. (6701430906); Kasozi, Herbert (57197841207); Montgomery, Robert A. (57202425313)","58947001800; 57203106176; 6701430906; 57197841207; 57202425313","The global threat of wire snare poaching: A comprehensive review of impacts and research priorities","2025","Biological Conservation","310","","111406","","","1","10.1016/j.biocon.2025.111406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012220715&doi=10.1016%2Fj.biocon.2025.111406&partnerID=40&md5=0e67036f33b25973d5ca556d9b9b03d8","Department of Biology, University of Oxford, Oxford, Oxfordshire, United Kingdom; Yale School of the Environment, New Haven, CT, United States; Teignmouth, New Road, Devon, United Kingdom; Department of Zoology, Makerere University, Kampala, Uganda; Institute of Science and Environment, University of Cumbria, Lancaster, Lancashire, United Kingdom","Feldmeier, Dylan E., Department of Biology, University of Oxford, Oxford, Oxfordshire, United Kingdom; Schmitz, Oswald J., Yale School of the Environment, New Haven, CT, United States; Dickman, Amy J., Department of Biology, University of Oxford, Oxford, Oxfordshire, United Kingdom, Teignmouth, New Road, Devon, United Kingdom; Kasozi, Herbert, Department of Zoology, Makerere University, Kampala, Uganda; Montgomery, Robert A., Institute of Science and Environment, University of Cumbria, Lancaster, Lancashire, United Kingdom","D.E. Feldmeier; Wildlife Conservation Research Unit, Department of Biology, University of Oxford, Oxford, 11a Mansfield Road, OX1 3SZ, United Kingdom; email: dylan.feldmeier@magd.ox.ac.uk","","Elsevier Ltd","00063207","0521397863; 9780521397865","BICOB","","English","Biol. Conserv.","Review","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105012220715"
"Mkuzi, H.T.; Ocansey, C.M.; Maghanga, J.; Gulyás, M.; Penksza, K.; Szentes, S.; Michéli, E.; Fuchs, M.; Boros, N.","Mkuzi, Hamisi Tsama (60117383200); Ocansey, Caleb Melenya (57725397000); Maghanga, Justin Kambale (35311424600); Gulyás, Miklós (55270704000); Penksza, Károly (55940207500); Szentes, Szilárd Z. (16320020600); Michéli, Erika (8383743000); Fuchs, Márta (57189022677); Boros, Norbert (35572616000)","60117383200; 57725397000; 35311424600; 55270704000; 55940207500; 16320020600; 8383743000; 57189022677; 35572616000","A Review of Biomass Estimation Methods for Forest Ecosystems in Kenya: Techniques, Challenges, and Future Perspectives","2025","Land","14","9","1873","","","1","10.3390/land14091873","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017273332&doi=10.3390%2Fland14091873&partnerID=40&md5=98005c48c73f83017f5e14e8c9e1f1bd","Department of Soil Sciences, Hungarian University of Agriculture and Life Sciences, Godollo, Pest, Hungary; CSIR - Crops Research Institute Ghana, Kumasi, Ashanti Region, Ghana; Department of Mathematics, Taita Taveta University, Voi, Taita–Taveta, Kenya; Department of Botany, Hungarian University of Agriculture and Life Sciences, Godollo, Pest, Hungary; Nutrition and Laboratory Animal Science Department, University of Veterinary Medicine Budapest, Budapest, Hungary","Mkuzi, Hamisi Tsama, Department of Soil Sciences, Hungarian University of Agriculture and Life Sciences, Godollo, Pest, Hungary; Ocansey, Caleb Melenya, Department of Soil Sciences, Hungarian University of Agriculture and Life Sciences, Godollo, Pest, Hungary, CSIR - Crops Research Institute Ghana, Kumasi, Ashanti Region, Ghana; Maghanga, Justin Kambale, Department of Mathematics, Taita Taveta University, Voi, Taita–Taveta, Kenya; Gulyás, Miklós, Department of Soil Sciences, Hungarian University of Agriculture and Life Sciences, Godollo, Pest, Hungary; Penksza, Károly, Department of Botany, Hungarian University of Agriculture and Life Sciences, Godollo, Pest, Hungary; Szentes, Szilárd Z., Nutrition and Laboratory Animal Science Department, University of Veterinary Medicine Budapest, Budapest, Hungary; Michéli, Erika, Department of Soil Sciences, Hungarian University of Agriculture and Life Sciences, Godollo, Pest, Hungary; Fuchs, Márta, Department of Soil Sciences, Hungarian University of Agriculture and Life Sciences, Godollo, Pest, Hungary; Boros, Norbert, Department of Soil Sciences, Hungarian University of Agriculture and Life Sciences, Godollo, Pest, Hungary","M. Gulyás; Department of Soil Science, Institute of Environmental Science, Hungarian University of Agriculture and Life Sciences, Gödöllő, Páter Károly u. 1, 2100, Hungary; email: gulyas.miklos@uni-mate.hu; K. Penksza; Department of Botany, Institute of Agronomy, Hungarian University of Agriculture and Life Sciences, Gödöllő, Páter Károly u. 1, 2100, Hungary; email: penksza.karoly@uni-mate.hu","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","English","Land","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017273332"
"Wang, M.; Liu, H.; Zhang, M.; Adnan, R.M.","Wang, Mo (57192181286); Liu, Hui (60115978500); Zhang, Menghan (57219272551); Adnan, Rana Muhammad (56689592000)","57192181286; 60115978500; 57219272551; 56689592000","Advancing Nature-Based Solutions with Artificial Intelligence: A Bibliometric and Semantic Analysis Using ChatGPT","2025","Atmosphere","16","9","1102","","","1","10.3390/atmos16091102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017129221&doi=10.3390%2Fatmos16091102&partnerID=40&md5=48a1f1489359f7f2b3a67e83e899bd09","College of Architecture and Urban Planning, Guangzhou University, Guangzhou, Guangdong, China; Water Science and Environmental Engineering Research Center, Shenzhen University, Shenzhen, Guangdong, China; Center for Global Health Research, Saveetha Institute of Medical and Technical Sciences, Chennai, TN, India","Wang, Mo, College of Architecture and Urban Planning, Guangzhou University, Guangzhou, Guangdong, China; Liu, Hui, College of Architecture and Urban Planning, Guangzhou University, Guangzhou, Guangdong, China; Zhang, Menghan, College of Architecture and Urban Planning, Guangzhou University, Guangzhou, Guangdong, China; Adnan, Rana Muhammad, Water Science and Environmental Engineering Research Center, Shenzhen University, Shenzhen, Guangdong, China, Center for Global Health Research, Saveetha Institute of Medical and Technical Sciences, Chennai, TN, India","M. Zhang; College of Architecture and Urban Planning, Guangzhou University, Guangzhou, 510006, China; email: zmh205561@gzhu.edu.cn; R.M. Adnan; Water Science and Environmental Research Centre, College of Chemistry and Environmental Engineering, Shenzhen University, Shenzhen, 518060, China; email: rana@gzhu.edu.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","English","Atmosphere","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017129221"
"Abdenour, A.; Sinan, M.; Lekhlif, B.","Abdenour, Assia (58102638300); Sinan, Mohamed (6508301939); Lekhlif, Brahim (6506174711)","58102638300; 6508301939; 6506174711","Toward Sustainable Wetland Management: A Literature Review of Global Wetland Vulnerability Assessment Techniques in the Context of Rising Pressures","2025","Sustainability (Switzerland)","17","17","7962","","","0","10.3390/su17177962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016170004&doi=10.3390%2Fsu17177962&partnerID=40&md5=adbbbe90dd4086b193e7d443859d1785","Département Hydraulique, École Hassania des Travaux Publics (EHTP), Casablanca, Morocco","Abdenour, Assia, Département Hydraulique, École Hassania des Travaux Publics (EHTP), Casablanca, Morocco; Sinan, Mohamed, Département Hydraulique, École Hassania des Travaux Publics (EHTP), Casablanca, Morocco; Lekhlif, Brahim, Département Hydraulique, École Hassania des Travaux Publics (EHTP), Casablanca, Morocco","A. Abdenour; Hydrogéologie, Traitement et Épuration des Eaux et Changements Climatiques (HGT2E2C), Département Hydraulique, Environnement et Climat (HEC), Ecole Hassania des Travaux Publics (EHTP), Casablanca, Km 7, Route d’El Jadida, BP. 8108, Morocco; email: abdenour.assia.cedoc@ehtp.ac.ma","","Multidisciplinary Digital Publishing Institute (MDPI)","20711050","","","","English","Sustainability","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105016170004"
"Hayes, S.; Cawkwell, F.; Bacon, K.L.; Wingler, A.","Hayes, Samuel (57218933441); Cawkwell, Fiona G.L. (24376360400); Bacon, Karen L. (43061028500); Wingler, Astrid (6701631149)","57218933441; 24376360400; 43061028500; 6701631149","Remote Sensing of Grassland Plant Biodiversity and Functional Traits","2025","Ecology and Evolution","15","8","e71829","","","2","10.1002/ece3.71829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011698557&doi=10.1002%2Fece3.71829&partnerID=40&md5=f8826b9e5562496338cbdbfc2c507833","School of Biological, University College Cork, Cork, Munster, Ireland; Sustainability Institute, University College Cork, Cork, Munster, Ireland; Department of Geography, University College Cork, Cork, Munster, Ireland; University of Galway, Galway, Connacht, Ireland","Hayes, Samuel, School of Biological, University College Cork, Cork, Munster, Ireland, Sustainability Institute, University College Cork, Cork, Munster, Ireland, Department of Geography, University College Cork, Cork, Munster, Ireland; Cawkwell, Fiona G.L., Sustainability Institute, University College Cork, Cork, Munster, Ireland, Department of Geography, University College Cork, Cork, Munster, Ireland; Bacon, Karen L., University of Galway, Galway, Connacht, Ireland; Wingler, Astrid, School of Biological, University College Cork, Cork, Munster, Ireland, Sustainability Institute, University College Cork, Cork, Munster, Ireland","S. Hayes; School of Biological, Earth and Environmental Sciences, University College Cork, Cork, Ireland; email: shayes@ucc.ie","","John Wiley and Sons Ltd","","","","","English","Ecology and Evolution","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105011698557"
"Cipriano, C.; Noce, S.; Mereu, S.; Santini, M.","Cipriano, Cristina (58612112500); Noce, Sergio (36101455600); Mereu, Simone (23098407900); Santini, Monia (25723756000)","58612112500; 36101455600; 23098407900; 25723756000","Algorithms going wild – A review of machine learning techniques for terrestrial ecology","2025","Ecological Modelling","506","","111164","","","7","10.1016/j.ecolmodel.2025.111164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003934487&doi=10.1016%2Fj.ecolmodel.2025.111164&partnerID=40&md5=97fc26b77855528d083a0acfddc27334","Fondazione CMCC – Centro Euro-Mediterraneosui Cambiamenti Climatici, Italy; National Biodiversity Future Center (NBFC), Palermo, PA, Italy; Consiglio Nazionale delle Ricerche, Rome, RM, Italy","Cipriano, Cristina, Fondazione CMCC – Centro Euro-Mediterraneosui Cambiamenti Climatici, Italy, National Biodiversity Future Center (NBFC), Palermo, PA, Italy; Noce, Sergio, Fondazione CMCC – Centro Euro-Mediterraneosui Cambiamenti Climatici, Italy, National Biodiversity Future Center (NBFC), Palermo, PA, Italy; Mereu, Simone, Fondazione CMCC – Centro Euro-Mediterraneosui Cambiamenti Climatici, Italy, National Biodiversity Future Center (NBFC), Palermo, PA, Italy, Consiglio Nazionale delle Ricerche, Rome, RM, Italy; Santini, Monia, Fondazione CMCC – Centro Euro-Mediterraneosui Cambiamenti Climatici, Italy","C. Cipriano; Fondazione CMCC – Centro Euro-Mediterraneosui Cambiamenti Climatici, Italy; email: cristina.cipriano@cmcc.it","","Elsevier B.V.","03043800","","ECMOD","","English","Ecol. Model.","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105003934487"
"Gallerani, E.M.; Williams, A.P.; Cavanaugh, K.C.; Gillespie, T.W.","Gallerani, Erica Marie (57224977662); Williams, Alton Park (59157689600); Cavanaugh, Kyle C. (36145954500); Gillespie, Thomas Welch (7102070916)","57224977662; 59157689600; 36145954500; 7102070916","Uncertainties in Modelling Hawaii's Future Precipitation and What It Means for Endangered Forest Birds: A Review","2025","Journal of Biogeography","52","6","e15121","","","0","10.1111/jbi.15121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000326119&doi=10.1111%2Fjbi.15121&partnerID=40&md5=a417865e57ff5f26be09156f2f3ec974","Department of Geography, University of California, Los Angeles, Los Angeles, CA, United States","Gallerani, Erica Marie, Department of Geography, University of California, Los Angeles, Los Angeles, CA, United States; Williams, Alton Park, Department of Geography, University of California, Los Angeles, Los Angeles, CA, United States; Cavanaugh, Kyle C., Department of Geography, University of California, Los Angeles, Los Angeles, CA, United States; Gillespie, Thomas Welch, Department of Geography, University of California, Los Angeles, Los Angeles, CA, United States","E.M. Gallerani; Department of Geography, University of California Los Angeles, Los Angeles, United States; email: ericagallerani5@g.ucla.edu","","John Wiley and Sons Inc","03050270","","JBIOD","","English","J. Biogeogr.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105000326119"
"Miller, T.; Michoński, G.; Durlik, I.; Kozlovska, P.; Biczak, P.","Miller, Tymoteusz I. (56583223500); Michoński, Grzegorz (56444389500); Durlik, Irmina (58077891000); Kozlovska, Polina (58512715700); Biczak, Paweł (59920139600)","56583223500; 56444389500; 58077891000; 58512715700; 59920139600","Artificial Intelligence in Aquatic Biodiversity Research: A PRISMA-Based Systematic Review","2025","Biology","14","5","520","","","9","10.3390/biology14050520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006657725&doi=10.3390%2Fbiology14050520&partnerID=40&md5=fc8336735a67ed2eedad35999322512b","Institute of Marine and Environmental Sciences, Uniwersytet Szczecinski, Szczecin, Poland; Polish Society of Bioinformatics and Data Science, Biodata, Szczecin, Poland; Faculty of Navigation, Maritime University of Szczecin, Szczecin, West Pomeranian, Poland; Faculty of Economics, Uniwersytet Szczecinski, Szczecin, Poland","Miller, Tymoteusz I., Institute of Marine and Environmental Sciences, Uniwersytet Szczecinski, Szczecin, Poland; Michoński, Grzegorz, Institute of Marine and Environmental Sciences, Uniwersytet Szczecinski, Szczecin, Poland; Durlik, Irmina, Polish Society of Bioinformatics and Data Science, Biodata, Szczecin, Poland, Faculty of Navigation, Maritime University of Szczecin, Szczecin, West Pomeranian, Poland; Kozlovska, Polina, Faculty of Economics, Uniwersytet Szczecinski, Szczecin, Poland; Biczak, Paweł, Polish Society of Bioinformatics and Data Science, Biodata, Szczecin, Poland","T. Miller; Institute of Marine and Environmental Sciences, University of Szczecin, Szczecin, 71-415, Poland; email: tymoteusz.miller@usz.edu.pl","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","English","Biology","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105006657725"
"Chiloane, C.N.; Dube, T.; Sibanda, M.; Dalu, T.; Shoko, C.","Chiloane, Chantel Nthabiseng (57218690688); Dube, Timothy I. (55629520500); Sibanda, Mbulisi (39561458700); Dalu, Tatenda (55427284200); Shoko, Cletah (56512235300)","57218690688; 55629520500; 39561458700; 55427284200; 56512235300","A Summary of Recent Advances in the Literature on Machine Learning Techniques for Remote Sensing of Groundwater Dependent Ecosystems (GDEs) from Space","2025","Remote Sensing","17","8","1460","","","2","10.3390/rs17081460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003719240&doi=10.3390%2Frs17081460&partnerID=40&md5=50c796ab4cf126db7f916196fe1d4e6b","Department of Earth Sciences, University of the Western Cape, Bellville, Western Cape, South Africa; Department of Geography, University of the Western Cape, Bellville, Western Cape, South Africa; Aquatic Systems Research Group, University of Mpumalanga, Mbombela, Mpumalanga, South Africa; Archaeology and Environmental Studies, University of the Witwatersrand, Johannesburg, Johannesburg, Gauteng, South Africa","Chiloane, Chantel Nthabiseng, Department of Earth Sciences, University of the Western Cape, Bellville, Western Cape, South Africa; Dube, Timothy I., Department of Earth Sciences, University of the Western Cape, Bellville, Western Cape, South Africa; Sibanda, Mbulisi, Department of Geography, University of the Western Cape, Bellville, Western Cape, South Africa; Dalu, Tatenda, Aquatic Systems Research Group, University of Mpumalanga, Mbombela, Mpumalanga, South Africa; Shoko, Cletah, Archaeology and Environmental Studies, University of the Witwatersrand, Johannesburg, Johannesburg, Gauteng, South Africa","C.N. Chiloane; Institute of Water Studies, Department of Earth Sciences, University of the Western Cape, Cape Town, Bellville, 7535, South Africa; email: 3603088@myuwc.ac.za","","Multidisciplinary Digital Publishing Institute (MDPI)","","9780891814184; 0891814183; 9780123694072","","","English","Remote Sens.","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105003719240"
"Liu, H.; Shu, L.; Liu, X.; Cheng, P.; Wang, M.; Huang, Y.","Liu, Hui (59629158300); Shu, Lifu (7102761672); Liu, Xiaodong (55890326500); Cheng, Pengle (14062947900); Wang, Mingyu (58362852700); Huang, Ying (57033107800)","59629158300; 7102761672; 55890326500; 14062947900; 58362852700; 57033107800","Advancements in Artificial Intelligence Applications for Forest Fire Prediction","2025","Forests","16","4","704","","","6","10.3390/f16040704","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003696841&doi=10.3390%2Ff16040704&partnerID=40&md5=5d42934645cf3c711472bf4dcb1b0fa6","School of Technology, Beijing Forestry University, Beijing, Beijing, China; Ecology and Nature Conservation Institute, Chinese Academy of Forestry, Beijing, China; School of Ecology and Nature Conservation, Beijing Forestry University, Beijing, Beijing, China; NDSU College of Engineering, Fargo, ND, United States","Liu, Hui, School of Technology, Beijing Forestry University, Beijing, Beijing, China; Shu, Lifu, Ecology and Nature Conservation Institute, Chinese Academy of Forestry, Beijing, China; Liu, Xiaodong, School of Ecology and Nature Conservation, Beijing Forestry University, Beijing, Beijing, China; Cheng, Pengle, School of Technology, Beijing Forestry University, Beijing, Beijing, China; Wang, Mingyu, Ecology and Nature Conservation Institute, Chinese Academy of Forestry, Beijing, China; Huang, Ying, NDSU College of Engineering, Fargo, ND, United States","P. Cheng; School of Technology, Beijing Forestry University, Beijing, 100083, China; email: chengpengle@bjfu.edu.cn; M. Wang; Key Laboratory of Forest Protection of National Forestry and Grassland Administration, Ecology and Nature Conservation Institute, Chinese Academy of Forestry Beijing, Beijing, 100091, China; email: fire@caf.ac.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","English","Forests","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105003696841"
"Xu, W.; Cheng, Y.; Luo, M.; Mai, X.; Wang, W.; Zhang, W.; Wang, Y.","Xu, Weifeng (59710124300); Cheng, Yaofei (59710491900); Luo, Mengyuan (59711224700); Mai, Xuzhi (59709947900); Wang, Wenhuan (57206571509); Zhang, Wei (59061464400); Wang, Yinghui (35093500100)","59710124300; 59710491900; 59711224700; 59709947900; 57206571509; 59061464400; 35093500100","Progress and Limitations in Forest Carbon Stock Estimation Using Remote Sensing Technologies: A Comprehensive Review","2025","Forests","16","3","449","","","28","10.3390/f16030449","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001126326&doi=10.3390%2Ff16030449&partnerID=40&md5=5d5d0168157fe91f1312ca3733f9c2f2","Environment and Materials, Guangxi University, Nanning, Guangxi, China; Ltd., Nanning, Guangxi, China; Guangxi Institute of Industrial Technology, Nanning, China; School of Marine Sciences, Guangxi University, Nanning, Guangxi, China","Xu, Weifeng, Environment and Materials, Guangxi University, Nanning, Guangxi, China; Cheng, Yaofei, Ltd., Nanning, Guangxi, China; Luo, Mengyuan, Guangxi Institute of Industrial Technology, Nanning, China; Mai, Xuzhi, School of Marine Sciences, Guangxi University, Nanning, Guangxi, China; Wang, Wenhuan, Guangxi Institute of Industrial Technology, Nanning, China, School of Marine Sciences, Guangxi University, Nanning, Guangxi, China; Zhang, Wei, School of Marine Sciences, Guangxi University, Nanning, Guangxi, China; Wang, Yinghui, Guangxi Institute of Industrial Technology, Nanning, China, School of Marine Sciences, Guangxi University, Nanning, Guangxi, China","Y. Wang; Institute of Green and Low Carbon Technology, Guangxi Institute of Industrial Technology, Nanning, 530200, China; email: wyh@gxu.edu.cn; W. Zhang; School of Marine Sciences, Guangxi University, Nanning, 530004, China; email: zhangwei20@gxu.edu.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","English","Forests","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105001126326"
"Kyalo, H.; Tonnang, H.; Egonyu, J.; Olukuru, J.; Tanga, C.; Senagi, K.","Kyalo, Henry (59147258000); Tonnang, Edouard Henri Zefack (25422913500); Egonyu, James Peter (55934488400); Olukuru, John (57201056536); Tanga, Chrysantus M. (55535211200); Senagi, Kennedy Mutange (56928434400)","59147258000; 25422913500; 55934488400; 57201056536; 55535211200; 56928434400","Automatic synthesis of insects bioacoustics using machine learning: a systematic review","2025","International Journal of Tropical Insect Science","45","1","e103","101","120","8","10.1007/s42690-024-01406-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217220818&doi=10.1007%2Fs42690-024-01406-2&partnerID=40&md5=3fe8a8a92dbe211be1fff13cd124bbe9","Modelling and Geo-Information Unit, International Centre of Insect Physiology and Ecology Nairobi, Nairobi, Nairobi, Kenya; Department of Agriculture, Busitema University, Tororo, Uganda; Strathmore University, Nairobi, Kenya; School of Agriculture, University of KwaZulu-Natal, Durban, KwaZulu-Natal, South Africa","Kyalo, Henry, Modelling and Geo-Information Unit, International Centre of Insect Physiology and Ecology Nairobi, Nairobi, Nairobi, Kenya, Strathmore University, Nairobi, Kenya; Tonnang, Edouard Henri Zefack, Modelling and Geo-Information Unit, International Centre of Insect Physiology and Ecology Nairobi, Nairobi, Nairobi, Kenya, School of Agriculture, University of KwaZulu-Natal, Durban, KwaZulu-Natal, South Africa; Egonyu, James Peter, Department of Agriculture, Busitema University, Tororo, Uganda; Olukuru, John, Strathmore University, Nairobi, Kenya; Tanga, Chrysantus M., Modelling and Geo-Information Unit, International Centre of Insect Physiology and Ecology Nairobi, Nairobi, Nairobi, Kenya; Senagi, Kennedy Mutange, Modelling and Geo-Information Unit, International Centre of Insect Physiology and Ecology Nairobi, Nairobi, Nairobi, Kenya","K. Senagi; Data Management, Modelling and Geo-Information Unit, International Centre of Insect Physiology and Ecology, Nairobi, Kenya; email: ksenagi@icipe.org","","Springer Nature","17427584","","","","English","Int. J. Trop. Insect Sci.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85217220818"
"Wu, Y.; Lu, C.; Wu, K.; Gao, W.; Yang, N.; Lin, J.","Wu, Yuqi (59505831500); Lu, Chunyan (56257699400); Wu, Kexin (59506693100); Gao, Wenna (59507116500); Yang, Nuocheng (58528722900); Lin, Jingwen (59506255000)","59505831500; 56257699400; 59506693100; 59507116500; 58528722900; 59506255000","Advancements and trends in mangrove species mapping based on remote sensing: A comprehensive review and knowledge visualization","2025","Global Ecology and Conservation","57","","e03408","","","7","10.1016/j.gecco.2025.e03408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214449146&doi=10.1016%2Fj.gecco.2025.e03408&partnerID=40&md5=9d551b51e6ce1c2dc86f5a0fb4fcbbb2","College of Computer and Information Science, Fujian Agriculture and Forestry University, Fuzhou, Fujian, China; Fujian Agriculture and Forestry University, Fuzhou, Fujian, China","Wu, Yuqi, College of Computer and Information Science, Fujian Agriculture and Forestry University, Fuzhou, Fujian, China, Fujian Agriculture and Forestry University, Fuzhou, Fujian, China; Lu, Chunyan, College of Computer and Information Science, Fujian Agriculture and Forestry University, Fuzhou, Fujian, China, Fujian Agriculture and Forestry University, Fuzhou, Fujian, China; Wu, Kexin, College of Computer and Information Science, Fujian Agriculture and Forestry University, Fuzhou, Fujian, China, Fujian Agriculture and Forestry University, Fuzhou, Fujian, China; Gao, Wenna, College of Computer and Information Science, Fujian Agriculture and Forestry University, Fuzhou, Fujian, China, Fujian Agriculture and Forestry University, Fuzhou, Fujian, China; Yang, Nuocheng, College of Computer and Information Science, Fujian Agriculture and Forestry University, Fuzhou, Fujian, China, Fujian Agriculture and Forestry University, Fuzhou, Fujian, China; Lin, Jingwen, College of Computer and Information Science, Fujian Agriculture and Forestry University, Fuzhou, Fujian, China","C. Lu; College of Computer and Information Sciences, Fujian Agriculture and Forestry University, Fuzhou, 350002, China; email: luchunyan@fafu.edu.cn","","Elsevier B.V.","","","","","English","Glob. Ecol. Conserv.","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85214449146"
"Pelanda, A.M.; Diógenes, A.N.","Pelanda, André Maciel (60300686900); Diógenes, Alysson Nunes (56095865200)","60300686900; 56095865200","Advances in avian acoustic recognition through artificial intelligence: a systematic review of techniques and environmental applications; Avanços no reconhecimento acústico de aves por meio da inteligência artificial: uma revisão sistemática de técnicas e aplicações ambientais","2025","Revista Brasileira de Ciencias Ambientais","60","","e2514","","","0","10.5327/Z2176-94782514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026880543&doi=10.5327%2FZ2176-94782514&partnerID=40&md5=d7f682c4cdc6703977547bce48601da9","Universidade Positivo, Curitiba, PR, Brazil","Pelanda, André Maciel, Universidade Positivo, Curitiba, PR, Brazil; Diógenes, Alysson Nunes, Universidade Positivo, Curitiba, PR, Brazil","A.M. Pelanda; Universidade Positivo, Curitiba, PR, Brazil; email: andre.pelanda@yahoo.com.br","","ABES - Associacao Brasileira de Engenharia Sanitaria e Ambiental","18084524","","","","English","Rev. Bras. Cienc. Ambient.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105026880543"
"Campbell, K.G.; Vinebrooke, R.D.","Campbell, Katie (59750380800); Vinebrooke, Rolf D. (60090669300)","59750380800; 60090669300","Advances in forecasting of harmful algal blooms in freshwater ecosystems","2025","Environmental Reviews","33","","","","","0","10.1139/er-2025-0136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020848552&doi=10.1139%2Fer-2025-0136&partnerID=40&md5=664aa4731e0ce60bbaacb40eff30306a","Department of Biological Sciences, University of Alberta, Edmonton, AB, Canada","Campbell, Katie, Department of Biological Sciences, University of Alberta, Edmonton, AB, Canada; Vinebrooke, Rolf D., Department of Biological Sciences, University of Alberta, Edmonton, AB, Canada","K.G. Campbell; Department of Biological Sciences, University of Alberta, Edmonton, T6G 2E9, Canada; email: kgc2@ualberta.ca","","Canadian Science Publishing","11818700","","ENRVE","","English","Environ Rev","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105020848552"
"Kim, B.; Kim, T.","Kim, Byeongyeon (60072208300); Kim, Taejong (60135697400)","60072208300; 60135697400","AI in extreme weather events prediction and response: a systematic topic-model review (2015–2024)","2025","Frontiers in Environmental Science","13","","1659344","","","0","10.3389/fenvs.2025.1659344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018473536&doi=10.3389%2Ffenvs.2025.1659344&partnerID=40&md5=e71799b451a73b8ba944af7f4e9fc118","AI Meteorological Research Division, National Institute of Meteorological Sciences, Jeju, Jeju-do, South Korea; Artificial Intelligence Meteorological Technology Research Society, Korea Meteorological Administration, Seoul, South Korea","Kim, Byeongyeon, AI Meteorological Research Division, National Institute of Meteorological Sciences, Jeju, Jeju-do, South Korea, Artificial Intelligence Meteorological Technology Research Society, Korea Meteorological Administration, Seoul, South Korea; Kim, Taejong, AI Meteorological Research Division, National Institute of Meteorological Sciences, Jeju, Jeju-do, South Korea, Artificial Intelligence Meteorological Technology Research Society, Korea Meteorological Administration, Seoul, South Korea","B. Kim; AI Meteorological Research Division, National Institute of Meteorological Sciences, Jeju, South Korea; email: bykim1011@korea.kr","","Frontiers Media SA","","","","","English","Front. Environ. Sci.","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105018473536"
